id,type,success,duration
0,symbol_cmd,True,0.003195099998265505
1,symbol_cmd,True,0.0019530999998096377
2,symbol_cmd,True,0.0020647000055760145
3,symbol_cmd,True,0.03248850000090897
4,top_cmd,True,0.0022401000023819506
5,top_cmd,True,0.002250699995784089
6,vol_cmd,True,0.0023969000030774623
7,symbol_cmd,True,0.0019797999993897974
8,symbol_cmd,True,0.0020292000262998044
9,top_cmd,True,0.0022034000139683485
10,vol_cmd,True,0.0023231999948620796
11,vol_cmd,True,0.0023674999829381704
12,symbol_cmd,True,0.0027211999986320734
13,top_cmd,True,0.0024670000129844993
14,symbol_cmd,True,0.0020530999754555523
15,top_cmd,True,0.0021749000006821007
16,top_cmd,True,0.002972499991301447
17,symbol_cmd,True,0.0018959000008180737
18,top_cmd,True,0.00229199999012053
19,top_cmd,True,0.0023791999847162515
20,top_cmd,True,0.0022156000195536762
21,vol_cmd,True,0.002296299993759021
22,top_cmd,True,0.002284400019561872
23,symbol_cmd,True,0.0019915000011678785
24,symbol_cmd,True,0.0020721000037156045
25,symbol_cmd,True,0.0029129000031389296
26,top_cmd,True,0.0021804000134579837
27,top_cmd,True,0.002282600005855784
28,top_cmd,True,0.0023153999936766922
29,vol_cmd,True,0.0022830999805592
30,top_cmd,True,0.0022228999878279865
31,vol_cmd,True,0.002160800009733066
32,top_cmd,True,0.002271000004839152
33,symbol_cmd,True,0.002232500002719462
34,symbol_cmd,True,0.0026148000033572316
35,symbol_cmd,True,0.0021032999793533236
36,symbol_cmd,True,0.0020293999987188727
37,symbol_cmd,True,0.002066399989416823
38,vol_cmd,True,0.002493799984222278
39,top_cmd,True,0.0031199000077322125
40,top_cmd,True,0.002171600004658103
41,vol_cmd,True,0.0022671000042464584
42,vol_cmd,True,0.002202900010161102
43,top_cmd,True,0.0034278999955859035
44,vol_cmd,True,0.0022483000066131353
45,top_cmd,True,0.0023711999820079654
46,top_cmd,True,0.002239599998574704
47,top_cmd,True,0.0030525000183843076
48,vol_cmd,True,0.0021594999998342246
49,top_cmd,True,0.0023071999894455075
50,vol_cmd,True,0.0023112999915611
51,top_cmd,True,0.0021724000107496977
52,vol_cmd,True,0.037197799974819645
53,vol_cmd,True,0.002222699986305088
54,top_cmd,True,0.002143999998224899
55,top_cmd,True,0.0021664999949280173
56,symbol_cmd,True,0.002740500000072643
57,symbol_cmd,True,0.0019985999970231205
58,top_cmd,True,0.002307599992491305
59,top_cmd,True,0.0022471999982371926
60,symbol_cmd,True,0.001996899984078482
61,top_cmd,True,0.0029958999948576093
62,symbol_cmd,True,0.0021665999956894666
63,top_cmd,True,0.002171600004658103
64,top_cmd,True,0.002249199984362349
65,top_cmd,True,0.0032060999947134405
66,top_cmd,True,0.00213060001260601
67,vol_cmd,True,0.0023098000092431903
68,vol_cmd,True,0.002144199999747798
69,vol_cmd,True,0.0021726000122725964
70,symbol_cmd,True,0.002044900000328198
71,top_cmd,True,0.0022649000165984035
72,top_cmd,True,0.0023501999967265874
73,symbol_cmd,True,0.0020732000120915473
74,vol_cmd,True,0.003036100009921938
75,vol_cmd,True,0.0021493999811355025
76,vol_cmd,True,0.002264500013552606
77,vol_cmd,True,0.0024081999727059156
78,symbol_cmd,True,0.002931499999249354
79,vol_cmd,True,0.0025040999753400683
80,top_cmd,True,0.002441000018734485
81,symbol_cmd,True,0.0020343999785836786
82,symbol_cmd,True,0.0020757000020239502
83,vol_cmd,True,0.0030075999966356903
84,top_cmd,True,0.0024108999932650477
85,top_cmd,True,0.0022330999781843275
86,symbol_cmd,True,0.002099900011671707
87,symbol_cmd,True,0.002119699987815693
88,vol_cmd,True,0.003024600009666756
89,vol_cmd,True,0.0025236000074073672
90,symbol_cmd,True,0.002150099986465648
91,symbol_cmd,True,0.0021554999984800816
92,symbol_cmd,True,0.0027153999835718423
93,symbol_cmd,True,0.0019941000209655613
94,vol_cmd,True,0.0022418999869842082
95,vol_cmd,True,0.0021758000075351447
